Andy Cohen,@Andy
Bethenny Frankel,@Bethenny
Brandi Glanville,@BrandiGlanville
Bravotv,@Bravotv
Catfish,@CatfishMTV
Dance Moms,@DanceMoms
Deadliest Catch,@DeadliestCatch
Derek Hough,@derekhough
Dr. Phil,@DrPhil
Duck Dynasty,@DuckDynastyAE
E! News,@enews
Fast N' Loud,@FastNLoudTV
Gordon Ramsay,@GordonRamsay
Hell's Kitchen,@HellsKitchenFOX
Johnny Knoxville,@realjknoxville
Kendall Jenner,@KendallJenner
Kourtney Kardashian,@kourtneykardash
Kris Jenner,@KrisJenner
Kylie Jenner,@KylieJenner
Lauren Conrad,@LaurenConrad
Mark Ballas,@MarkBallas
MasterChef,@MASTERCHEFonFOX
NeNe Leakes,@NeNeLeakes
Nicole Polizzi,@snooki
Official DWTS,@DancingABC
Project Runway,@ProjectRunway
Ryan Seacrest,@RyanSeacrest
SURVIVOR,@survivorcbs
Sharon Osbourne,@MrsSOsbourne
Simon Cowell,@SimonCowell
The Bachelor,@BachelorABC
The Challenge,@ChallengeMTV
The Voice,@NBCTheVoice
Tyra Banks,@tyrabanks
YOLANDA,@YolandaHFoster
