#VoteRoyals,@Royals
Angels,@Angels
Arizona Diamondbacks,@Dbacks
Atlanta Braves,@Braves
Baltimore Orioles,@Orioles
Baseball Tonight,@BBTN
Boston Red Sox,@RedSox
Chicago Cubs,@Cubs
Chicago White Sox,@whitesox
Chipper Jones,@RealCJ10
Cincinnati Reds,@Reds
Colorado Rockies,@Rockies
Curt Schilling,@gehrig38
Cut4,@Cut4
David Robertson,@DRob30
Detroit Tigers,@tigers
Eric Karabell,@karabellespn
FOX Sports: MLB,@MLBONFOX
Houston Astros,@astros
Los Angeles Dodgers,@Dodgers
MLB Memes,@MLBMeme
MLB Network,@MLBNetwork
MLB Stat of the Day,@MLBStatoftheDay
MLB,@MLB
New York Mets,@Mets
New York Yankees,@Yankees
Noah Syndergaard,@Noahsyndergaard
Oakland Athletics,@Athletics
Pittsburgh Pirates,@Pirates
St. Louis Cardinals,@Cardinals
Texas Rangers,@Rangers
Washington Nationals,@Nationals
