9to5Mac ,@9to5mac
AppleInsider,@appleinsider
Ars Technica,@arstechnica
BBC Technology,@BBCTech
CNET,@CNET
Code School,@codeschool
Digital Trends,@DigitalTrends
Engadget,@engadget
Forbes Tech News,@ForbesTech
Gizmodo,@Gizmodo
HuffPost Tech,@HuffPostTech
Lifehacker,@lifehacker
MIT Tech Review,@techreview
MacRumors.com,@MacRumors
Mashable Tech,@mashabletech
Mashable,@mashable
OpenStack,@OpenStack
PCMag,@PCMag
PCWorld,@pcworld
Reuters Tech News,@ReutersTech
TED Talks,@TEDTalks
TechCrunch,@TechCrunch
The Next Web,@TheNextWeb
The Verge,@verge
Think with Google,@ThinkwithGoogle
USA TODAY Tech,@usatodaytech
VentureBeat,@VentureBeat
WIRED,@WIRED
ZDNet,@ZDNet
techradar,@techradar
