Atlanta United FC,@ATLUTD
Becky Sauerbrunn,@beckysauerbrunn
Chicago Fire,@ChicagoFire
Colorado Rapids,@ColoradoRapids
Columbus Crew SC,@ColumbusCrewSC
D.C. United,@dcunited
Dax McCarty,@DaxMcCarty11
ESPN FC,@ESPNFC
FC Dallas,@FCDallas
FC Kansas City,@FCKansasCity
FIFA Women'sWorldCup,@FIFAWWC
FIFA.com,@FIFAcom
FOX Soccer,@FOXSoccer
Grant Wahl,@GrantWahl
Houston Dynamo,@HoustonDynamo
Impact de Montréal,@impactmontreal
Julian Green,@J_Green37
Julie Johnston,@_JulieJohnston_
KICK,@KICK
LA Galaxy,@LAGalaxy
LAFC,@LAFC
Major League Soccer,@MLS
Morgan Brian,@moeebrian
New York City FC,@NYCFC
Nick Rimando,@NickRimando
Nike Soccer,@nikesoccer
Orlando City SC,@OrlandoCitySC
Portland Timbers,@TimbersFC
Real Salt Lake,@RealSaltLake
San Jose Earthquakes,@SJEarthquakes
Sporting Kansas City,@SportingKC
Sydney Leroux Dwyer,@sydneyleroux
U.S. Soccer WNT,@ussoccer_wnt
U.S. Soccer,@ussoccer
Vancouver Whitecaps,@WhitecapsFC
