AutoGuide.com,@AutoGuide
Autoblog.com,@therealautoblog
Automobile Magazine,@automobilemag
Automotive News,@Automotive_News
Autosinsider,@Autosinsider
Autoweek,@AutoweekUSA
CAR magazine,@CARmagazine
Car and Driver,@CARandDRIVER
Cars.com,@carsdotcom
Continental Tire,@continentaltire
FCA-North America,@FiatChrysler_NA
Falken Tire,@FalkenTire
GMC,@ThisIsGMC
HOT ROD Magazine,@hotrodmagazine
Jalopnik,@Jalopnik
Mini Magazine,@MiniMagazine
Motor Trend,@MotorTrend
MotorWeek,@MotorWeek
Road & Track,@RoadandTrack
Robb Report,@RobbReport
Speedhunters,@Speedhunters
Summit Racing,@SummitRacing
The Drive,@thedrive
WIRED,@WIRED
WSJ Autos,@WSJautos
Yahoo! Auto,@YahooAuto
evo Magazine,@evomagazine
