Amer. Library Assn.,@ALALibrary
American Libraries,@amlibraries
Audible,@audible_com
Book Riot,@BookRiot
BookSoup,@BookSoup
Carolyn Kellogg,@paperhaus
Cory Doctorow,@doctorow
Dwight Garner,@DwightGarner
Farrar,Straus&Giroux,@fsgbooks
Granta Magazine,@GrantaMag
Grove Atlantic,@groveatlantic
Guardian Books,@GuardianBooks
Harlan Coben,@HarlanCoben
Harper Perennial,@HarperPerennial
HarperCollins,@HarperCollins
Jessa Crispin,@thebookslut
Jon Winokur,@AdviceToWriters
Joyce Carol Oates,@JoyceCarolOates
LA Review of Books,@LAReviewofBooks
Library Journal,@LibraryJournal
Little, Brown and Co,@littlebrown
London Review (LRB),@LRB
Margaret E. Atwood,@MargaretAtwood
NPR Books,@nprbooks
NYer Page-Turner,@pageturner
National Book,@nationalbook
New York Times Books,@nytimesbooks
PENamerican,@PENamerican
Penguin Books USA,@penguinusa
Penguin Classics,@PenguinClassics
Penguin Random House,@penguinrandom
Poets.org,@POETSorg
Powell's Books,@Powells
Publishers Weekly,@PublishersWkly
Sherman Alexie,@Sherman_Alexie
Strand Book Store,@strandbookstore
The Millions,@The_Millions
The Paris Review,@parisreview
Timothy McSweeney,@mcsweeneys
Vintage/Anchor Books,@VintageAnchor
Writer's Digest,@WritersDigest
goodreads,@goodreads
sarahdessen,@sarahdessen
