Ainsley Earhardt,@ainsleyearhardt
Anderson Cooper,@andersoncooper
Brian Kilmeade,@kilmeade
CBS This Morning,@CBSThisMorning
Christi Paul,@Christi_Paul
Christiane Amanpour,@camanpour
David Muir,@DavidMuir
Dylan Dreyer,@DylanDreyerNBC
Erica Hill,@EricaRHill
Gary Tuchman,@GaryTuchmanCNN
GeorgeStephanopoulos,@GStephanopoulos
Hoda Kotb,@hodakotb
Joy Reid,@JoyAnnReid
Juju Chang,@JujuChangABC
Kathie Lee Gifford,@KathieLGifford
Megyn Kelly,@megynkelly
Meredith Frost,@MeredithFrost
Norah O'Donnell,@NorahODonnell
Robin Meade,@RobinMeade
Shannon Bream,@ShannonBream
Shepard Smith,@ShepNewsTeam
