#RingoStarr,@ringostarrmusic
Ace Frehley,@ace_frehley
Aerosmith,@Aerosmith
Alice Cooper,@RealAliceCooper
BlackSabbath,@BlackSabbath
Bon Jovi,@BonJovi
Dave Mustaine,@DaveMustaine
Debbie Harry/BLONDIE,@BlondieOfficial
Def Leppard,@DefLeppard
Duff McKagan,@DuffMcKagan
George Harrison,@GeorgeHarrison
Glenn Hughes,@glenn_hughes
Grateful Dead,@GratefulDead
Guns N' Roses,@gunsnroses
Heart,@officialheart
Iron Maiden,@IronMaiden
KISS,@KISSOnline
Keith Richards,@officialKeef
Mick Jagger,@MickJagger
Neil Young,@Neilyoung
Paul Stanley,@PaulStanleyLive
Rod Stewart,@rodstewart
Ronnie Wood,@ronniewood
Scorpions,@scorpions
The Beatles,@thebeatles
The Doors,@TheDoors
The Rolling Stones,@RollingStones
The Who,@TheWho
Tom Petty,@tompetty
Tony Iommi,@tonyiommi
Zakk Wylde,@ZakkWyldeBLS
matt sorum,@mattsorum
