Blake Shelton,@blakeshelton
Brett Eldredge,@bretteldredge
Carrie Underwood,@carrieunderwood
Charles Kelley,@charleskelleyla
Chase Rice,@ChaseRiceMusic
Chris Stapleton,@ChrisStapleton
ChrisYoungMusic,@ChrisYoungMusic
Cole Swindell,@coleswindell
Dan + Shay,@DanAndShay
Danielle Bradbery,@DBradbery
Darius Rucker,@dariusrucker
Dierks Bentley,@DierksBentley
Dustin Lynch,@dustinlynch
Easton Corbin,@eastoncorbin
Florida Georgia Line,@FLAGALine
Hunter Hayes,@HunterHayes
Jason Aldean,@Jason_Aldean
KACEY MUSGRAVES,@KaceyMusgraves
Keith Urban,@KeithUrban
Kelsea Ballerini,@KelseaBallerini
Lady Antebellum,@ladyantebellum
Loretta Lynn,@LorettaLynn
Luke Bryan,@LukeBryanOnline
Rascal Flatts,@rascalflatts
Scotty McCreery,@ScottyMcCreery
The Band Perry,@thebandperry
Thomas Rhett,@ThomasRhett
Tim McGraw,@TheTimMcGraw
Toby Keith,@TobyKeithMusic
TraceAdkins,@TraceAdkins
