2Pac.com,@2pac
AKON,@Akon
Amber Rose,@DaRealAmberRose
B.o.B,@bobatl
Big Boi,@BigBoi
Big Sean,@BigSean
COMMON,@common
Charlamagne Tha God,@cthagod
DJ DRAMA,@DJDRAMA
DJ KHALED,@djkhaled
Drizzy,@Drake
FUTURE/FREEBANDZ,@1future
French Montana,@FrencHMonTanA
ICE T,@FINALLEVEL
Ice Cube,@icecube
Jason Derulo,@jasonderulo
KANYE WEST,@kanyewest
KHALIFA,@wizkhalifa
Kid Ink,@Kid_Ink
LLCOOLJ.,@llcoolj
Lil' Kim,@LilKim
Lupe Fiasco,@LupeFiasco
Miguel,@Miguel
NE-YO,@NeYoCompound
Queen Latifah,@IAMQUEENLATIFAH
Russell Simmons,@UncleRUSH
Sean Diddy Combs,@iamdiddy
Snoop Dogg,@SnoopDogg
T-Pain,@TPAIN
Trey Songz,@TreySongz
Usher Raymond IV,@Usher
Wale,@Wale
Wyclef Jean,@wyclef
Yung 4Eva,@KREAYSHAWN
Yung Renzél,@rickyrozay
acehood,@Acehood
