500 Startups,@500Startups
Aaron Levie,@levie
Alexis Ohanian,@alexisohanian
Benedict Evans,@BenedictEvans
Bill Gross,@Bill_Gross
Bret Taylor,@btaylor
Chamath Palihapitiya,@chamath
Chris Dixon,@cdixon
Coinbase,@coinbase
DHH,@dhh
Dave McClure,@davemcclure
Elon Musk,@elonmusk
Emily Chang,@emilychangtv
Eric Ries,@ericries
GV,@GVteam
Hilary Mason,@hmason
Hunter Walk,@hunterwalk
John Legere,@JohnLegere
John Paczkowski,@JohnPaczkowski
Kleiner Perkins,@kpcb
Lean Startup Co.,@leanstartup
M.G. Siegler,@mgsiegler
Marc Benioff,@Benioff
Mark Suster,@msuster
Max Levchin,@mlevchin
Naval Ravikant,@naval
Paul Graham,@paulg
Product Hunt,@ProductHunt
Reid Hoffman,@reidhoffman
Sequoia,@sequoia
Square,@Square
Steve Case,@SteveCase
Steve Wozniak,@stevewoz
Steven Sinofsky,@stevesi
Stripe,@stripe
Walt Mossberg,@waltmossberg
Werner Vogels,@Werner
Y Combinator,@ycombinator
techstars,@techstars
travis kalanick,@travisk
