CNN Health,@cnnhealth
Deepak Chopra,@DeepakChopra
Dr. Mehmet Oz,@DrOz
Eat This, Not That!,@EatThisNotThat
Everyday Health,@EverydayHealth
FITNESS Magazine,@FitnessMagazine
Golf Digest,@GolfDigest
Health magazine,@goodhealth
HuffPost Living,@HealthyLiving
Jack Canfield,@JackCanfield
Marianne Williamson,@marwilliamson
Men's Fitness,@MensFitness
Men's Health Mag,@MensHealthMag
Muscle & Fitness,@muscle_fitness
Oxygen,@oxygen
POPSUGAR Fitness,@POPSUGARFitness
Prevention Magazine,@PreventionMag
Reuters Health,@Reuters_Health
Runner's World,@runnersworld
SELF Magazine,@SELFmagazine
Shape Magazine,@Shape_Magazine
SuperSoul Sunday,@SuperSoulSunday
WebMD,@WebMD
Women's Health,@WomensHealthMag
Yoga Journal,@Yoga_Journal
