#GoBolts,@TBLightning
#NHL17Barkov,@FlaPanthers
#NHL17Benn,@DallasStars
#NHL17Kopitar,@LAKings
#NHL17McDavid,@EdmontonOilers
#NHL17Pavelski,@SanJoseSharks
#RockTheRed,@washcaps
#StanleyCup Playoffs,@NHL
Anaheim Ducks,@AnaheimDucks
Boston Bruins,@NHLBruins
Buffalo Sabres,@BuffaloSabres
Canadiens Montréal,@CanadiensMTL
Chicago Blackhawks,@NHLBlackhawks
Colorado Avalanche,@Avalanche
ColumbusBlueJackets,@BlueJacketsNHL
Detroit Red Wings,@DetroitRedWings
John Buccigross,@Buccigross
Josh Yohe,@JoshYohe_PGH
Kevin Allen,@ByKevinAllen
NHL Network,@NHLNetwork
NHL on NBC,@NHLonNBCSports
Nashville Predators,@PredsNHL
New Jersey Devils,@NJDevils
New York Islanders,@NYIslanders
New York Rangers,@NYRangers
Ottawa Senators,@Senators
Patrick Sharp,@10PSharp
Pete Jensen,@NHLJensen
Philadelphia Flyers,@NHLFlyers
Pierre LeBrun,@Real_ESPNLeBrun
Pittsburgh Penguins,@penguins
SI NHL,@SI_NHL
St. Louis Blues,@StLouisBlues
Steven Stamkos,@RealStamkos91
