ABC News,@ABC
AJ+,@ajplus
BBC Breaking News,@BBCBreaking
BBC News (World),@BBCWorld
CBS Evening News,@CBSEveningNews
CBS News,@CBSNews
CNN Breaking News,@cnnbrk
CNN International,@cnni
FOX & Friends,@foxandfriends
Good Morning America,@GMA
Huffington Post,@HuffingtonPost
Los Angeles Times,@latimes
MSNBC,@MSNBC
NBC News,@NBCNews
NBC Nightly News,@NBCNightlyNews
Reuters Top News,@Reuters
TIME.com,@TIME
The Associated Press,@AP
The Economist,@TheEconomist
USA TODAY,@USATODAY
World News Tonight,@ABCWorldNews
