20th Century Fox,@20thcenturyfox
A24,@A24
Adam McKay,@GhostPanther
Ava DuVernay,@AVAETC
Bad Robot,@bad_robot
Blumhouse,@blumhouse
Brett Ratner,@BrettRatner
Disney•Pixar,@DisneyPixar
DreamWorks Animation,@DWAnimation
Focus Features,@FocusFeatures
Fox Searchlight,@foxsearchlight
Guillermo del Toro,@RealGDT
IFC Films,@IFCFilms
Judd Apatow,@JuddApatow
Luc Besson,@lucbesson
MGM Studios,@MGM_Studios
Magnolia Pictures,@MagnoliaPics
Paramount Pictures,@ParamountPics
Paul Feig,@paulfeig
Rian Johnson,@rianjohnson
Roadside Attractions,@roadsidetweets
Roland Emmerich,@rolandemmerich
Ron Howard,@RealRonHoward
STX Entertainment,@STXEnt
Sony Classics,@sonyclassics
Sony Pictures,@SonyPictures
The Weinstein Co.,@WeinsteinFilms
Walt Disney Studios,@DisneyStudios
Warner Bros Pictures,@wbpictures
