#NFLDraft,@nflnetwork
,
Adam Schefter,@AdamSchefter
Adrian Wojnarowski,@WojVerticalNBA
AtTheBuzzer,@TheBuzzerOnFOX
Baseball Tonight,@BBTN
Bill Simmons,@BillSimmons
Bleacher Report,@BleacherReport
CBS Sports,@CBSSports
Clay Travis,@ClayTravis
Colin Cowherd,@ColinCowherd
College GameDay,@CollegeGameDay
Darren Rovell,@darrenrovell
ESPN CollegeFootball,@ESPNCFB
ESPN Stats & Info,@ESPNStatsInfo
Earvin Magic Johnson,@MagicJohnson
FOX Soccer,@FOXSoccer
FOX Sports,@FOXSports
FOX Sports: MLB,@MLBONFOX
FOX Sports: NFL,@NFLonFOX
FOX Sports: UFC,@UFCONFOX
Garbage Time,@GarbageTime
Ian Rapoport,@RapSheet
Jay Bilas,@JayBilas
Jemele Hill,@jemelehill
Mike & Mike,@MikeAndMike
NBA on ESPN,@ESPNNBA
NBA on TNT,@NBAonTNT
NBC Sports,@NBCSports
NFL on ESPN,@ESPNNFL
NFLonCBS,@NFLonCBS
NFLonNBC,@SNFonNBC
Rachel Nichols,@Rachel__Nichols
Rich Eisen,@richeisen
SHAQ,@SHAQ
Skip Bayless,@RealSkipBayless
Sports Illustrated,@SInow
SportsCenter,@SportsCenter
SportsNation,@SportsNation
The Players' Tribune,@PlayersTribune
The Ringer,@ringer
espnW,@espnW
