Burberry,@Burberry
Christian Louboutin,@LouboutinWorld
Cosmopolitan,@Cosmopolitan
ELLE Magazine (US),@ELLEmagazine
Esquire,@esquire
GQ Magazine,@GQMagazine
Glamour,@glamourmag
Harper's Bazaar,@harpersbazaarus
HuffPost Lifestyle,@HPLifestyle
InStyle,@InStyle
Karlie Kloss,@karliekloss
LOVE MAGAZINE,@THELOVEMAGAZINE
Marc Jacobs,@marcjacobs
Marie Claire,@marieclaire
NYLON,@NylonMag
Oscar de la Renta,@OscardelaRenta
PeopleStyle,@People_Style
Seventeen,@seventeen
Teen Vogue,@TeenVogue
VANITY FAIR,@VanityFair
Vera Wang,@VeraWangGang
Victoria Beckham,@victoriabeckham
Vogue Magazine,@voguemagazine
Vogue Runway,@VogueRunway
W magazine,@wmag
Who What Wear,@WhoWhatWear
refinery29,@Refinery29
