BethesdaGameStudios,@BethesdaStudios
BioWare,@bioware
Bungie,@Bungie
Clash of Clans,@ClashofClans
DOOM,@DOOM
Diablo,@Diablo
EA SPORTS FIFA,@EASPORTSFIFA
Fallout,@Fallout
Forza Motorsport,@ForzaMotorsport
Gears of War,@GearsofWar
Halo,@Halo
Hearthstone,@PlayHearthstone
Heroes of the Storm,@BlizzHeroes
Infinity Ward,@InfinityWard
Life Is Strange,@LifeIsStrange
NBA 2K 2K17,@NBA2K
Naughty Dog,@Naughty_Dog
Nintendo of America,@NintendoAmerica
Overwatch,@PlayOverwatch
PlayStation,@PlayStation
Pokémon,@Pokemon
Rainbow Six,@Rainbow6Game
Rocket League,@RocketLeague
Rockstar Games,@RockstarGames
SEGA,@SEGA
Smite: The Game,@SmiteGame
Sonic the Hedgehog,@sonic_hedgehog
Telltale Games,@telltalegames
The Division,@TheDivisionGame
The Old Republic,@SWTOR
The Sims,@TheSims
The Witcher,@witchergame
Ubisoft,@Ubisoft
World of Warcraft,@Warcraft
Xbox,@Xbox
