350 dot org,@350
9/11 Memorial,@Sept11Memorial
Alzheimer's Assoc.,@alzassociation
AmnestyInternational,@AmnestyOnline
AmnestyInternational,@amnesty
Christiana Figueres,@CFigueres
Climate Reality,@ClimateReality
Doctors w/o Borders,@MSF_USA
Gates Foundation,@gatesfoundation
Global Goals,@GlobalGoalsUN
Greenpeace,@Greenpeace
Human Rights Watch,@hrw
ICRC,@ICRC
Ocean Conservancy,@OurOcean
Oceana,@Oceana
Oxfam International,@Oxfam
Save the Children US,@SavetheChildren
UN Climate Action,@UNFCCC
UN Development,@UNDP
UN Environment,@UNEP
UN Foundation,@unfoundation
UN Geneva,@UNGeneva
UN Human Rights,@UNHumanRights
UN News Centre,@UN_News_Centre
UN Refugee Agency,@Refugees
UN Women,@UN_Women
UNESCO,@UNESCO
UNICEF,@UNICEF
UNYouth,@UN4Youth
United Nations,@UN
WWF,@WWF
World Bank,@WorldBank
World Food Programme,@WFP
World Wildlife Fund,@World_Wildlife
