ABC News Politics,@ABCPolitics
Andrea Tantaros,@AndreaTantaros
Bill O'Reilly,@oreillyfactor
Bloomberg Politics,@bpolitics
Brit Hume,@brithume
CNN Politics,@CNNPolitics
Chris Cillizza,@TheFix
Christopher Hayes,@chrislhayes
Dana Perino,@DanaPerino
Donna Brazile,@donnabrazile
Face The Nation,@FaceTheNation
Fox News Politics,@foxnewspolitics
Greta Van Susteren,@greta
HuffPost Politics,@HuffPostPol
Jake Tapper,@jaketapper
Joe Scarborough,@JoeNBC
John Stossel,@JohnStossel
Kimberly Guilfoyle,@kimguilfoyle
Laura Ingraham,@IngrahamAngle
Meet the Press,@meetthepress
Morning Joe,@Morning_Joe
POLITICO,@politico
PolitiFact,@PolitiFact
Reuters Politics,@ReutersPolitics
Roll Call,@rollcall
Salon.com,@Salon
The Hill,@thehill
ThinkProgress,@thinkprogress
