Department of State,@StateDept
Dept. of Agriculture,@USDA
Energy Department,@ENERGY
Gina McCarthy,@GinaEPA
Homeland Security,@DHSgov
John Kerry,@JohnKerry
John King,@JohnKingatED
Julián Castro,@SecretaryCastro
Justice Department,@TheJusticeDept
SBA,@SBAgov
Sally Jewell,@SecretaryJewell
Samantha Power,@AmbassadorPower
Sylvia Burwell,@SecBurwell
Tom Perez,@LaborSec
Treasury Department,@USTreasury
U.S. Dept of Defense,@DeptofDefense
US Dept of Education,@usedgov
US Dept of Interior,@Interior
US Labor Department,@USDOL
US Mission to the UN,@USUN
Veterans Affairs,@DeptVetAffairs
