Andrea Tantaros,@AndreaTantaros
Arianna Huffington,@ariannahuff
Christopher Hayes,@chrislhayes
Dana Loesch,@DLoesch
Dana Perino,@DanaPerino
Fareed Zakaria,@FareedZakaria
Greta Van Susteren,@greta
Jessica Valenti,@JessicaValenti
Joe Scarborough,@JoeNBC
John Stossel,@JohnStossel
Josh Barro,@jbarro
Kimberly Guilfoyle,@kimguilfoyle
Lawrence O'Donnell,@Lawrence
Lou Dobbs,@LouDobbs
Michelle Malkin,@michellemalkin
Mike Allen,@mikeallen
Morning Joe,@Morning_Joe
NYT Opinion,@nytopinion
Neil Cavuto,@TeamCavuto
Nicholas Kristof,@NickKristof
Paul Krugman,@paulkrugman
Rachel Maddow MSNBC,@maddow
S.E. Cupp,@secupp
Sean Hannity,@seanhannity
The Last Word,@TheLastWord
The Weekly Standard,@weeklystandard
andy levy,@andylevy
