Akilah Hughes,@AkilahObviously
Anil Dash,@anildash
Barack Obama,@BarackObama
Baratunde,@baratunde
Blavity,@Blavity
Charlamagne Tha God,@cthagod
Desus Nice,@desusnice
Drizzy,@Drake
El Flaco,@bomani_jones
Franchesca Ramsey,@chescaleigh
Gabrielle Union,@itsgabrielleu
Heben Nigatu,@heavenrants
Ice Cube,@icecube
Issa Rae,@IssaRae
Jenna //\\ Wortham,@jennydeluxe
John Legend,@johnlegend
Johnetta Elzie,@Nettaaaaaaaa
Jussie Smollett,@JussieSmollett
KHALIFA,@wizkhalifa
Kevin Hart,@KevinHart4real
R'asclat Al Ghul,@Felonious_munk
Reagan Gomez,@ReaganGomez
Robin Roberts,@RobinRoberts
Saint Pest,@KidFury
Shaun King,@ShaunKing
Tina & Jeff's Boy,@CoryTownes
Tracy Clayton,@brokeymcpoverty
VibeMagazine,@VibeMagazine
deray mckesson,@deray
jamilah lemieux,@JamilahLemieux
jesseWilliams.,@iJesseWilliams
kerry washington,@kerrywashington
tristan walker,@tristanwalker
