AmeriCares,@AmeriCares
American Red Cross,@RedCross
AmnestyInternational,@amnesty
CARE (care.org),@CARE
Doctors w/o Borders,@MSF_USA
Feeding America,@FeedingAmerica
HRF,@HRF
Habitat for Humanity,@Habitat_org
ICRC,@ICRC
IRC Intl Rescue Comm,@theIRC
Karam Foundation,@karamfoundation
Mercy Corps,@mercycorps
No Kid Hungry,@nokidhungry
ONE,@ONECampaign
Oxfam America,@OxfamAmerica
Peace Corps,@PeaceCorps
Refugees Internat'l,@RefugeesIntl
Samaritan's Purse,@SamaritansPurse
Save the Children US,@SavetheChildren
UNESCO,@UNESCO
UNICEF USA,@unicefusa
United Way,@UnitedWay
World Vision,@WorldVision
