original query size: 100
size of pruned users list: 42
[followers_count, statuses_count, avg favorite_count, avg retweet_count]
lakersselfie1: [2855, 86372, 0, 0]
UandiR1: [54891, 7266, 0, 0]
The_Style_Swag: [809, 47398, 0, 0]
ScoresProLive: [1975, 913924, 0, 0]
CONSCIOUSWORLD1: [64747, 9597, 0, 0]
RWestbrook_Fans: [1240, 291719, 0, 0]
ballonmymind: [1055, 3379, 0, 68]
ScoresPro: [2823, 909065, 0, 0]
paugasol: [3396302, 11053, 380, 483]
VitoriaSC1922: [1895, 157, 8, 8]
DetroitPistonsv: [2191, 235521, 0, 0]
NBABasketball48: [586, 3695, 0, 186]
BasketDrills: [7131, 20414, 1, 1]
BostonCeltics1v: [905, 379314, 0, 0]
kaj33: [1761734, 3223, 92, 77]
ChatchTVSports: [711, 85452, 0, 0]
vigorstrength: [1931, 309826, 0, 0]
csrucker: [560, 3083, 0, 0]
323hoops: [1035, 797, 0, 71]
MiamiHeatFans5: [2610, 330107, 0, 0]
BeCoolTshirt: [1725, 12838, 0, 1]
_OPinnock: [20217, 44505, 0, 28]
xtbball: [5790, 41076, 0, 0]
Myong_Wisley: [869, 325792, 0, 0]
LuiisOrtizA41: [3420, 11442, 0, 0]
Herbalife24: [78397, 2019, 12, 188]
AthleticShoes2: [574, 312049, 0, 0]
FCPorto: [642254, 25566, 77, 75]
mynameisseda: [877, 17311, 0, 355]
MichaelJordan1v: [3912, 376748, 0, 0]
Dwyane_Wade_Fan: [3144, 271191, 0, 0]
solepack: [975, 11255, 0, 0]
baske_dunk: [809, 4508, 0, 0]
Suns: [506267, 55869, 45, 27]
LeBron_Watch: [4782, 363180, 0, 0]
NY_Knicks_Fans1: [3041, 331670, 0, 0]
GS_Warriors1: [893, 280079, 0, 0]
HoopsKingLV: [2533, 14885, 0, 0]
AtlantaHawks11: [541, 252590, 0, 0]
NBA_Links: [1257, 123914, 0, 0]
Crystalina91011: [1591, 4655, 2, 434]
eugenius__: [1569, 54231, 0, 1263]
Number of Influencers: 42
